Date,CO2(ppm),Temp(C),CarCount,Time,DateCorr
09:20:01,446.04,16.23,0,01:40:00,03/09/2022
09:25:01,455.22,16.04,0,01:45:00,03/09/2022
09:30:01,450.63,16.21,0,01:50:00,03/09/2022
09:35:01,452.17,16.26,0,01:55:00,03/09/2022
09:40:01,444.78,15.97,0,02:00:00,03/09/2022
09:45:01,448.15,15.95,0,02:05:00,03/09/2022
09:50:01,448.83,16.04,0,02:10:00,03/09/2022
09:55:01,445.45,16.16,0,02:15:00,03/09/2022
10:00:01,445.35,16.33,0,02:20:00,03/09/2022
10:05:01,442.4,16.4,0,02:25:00,03/09/2022
10:10:01,443.62,16.49,0,02:30:00,03/09/2022
10:15:01,450.45,16.28,0,02:35:00,03/09/2022
10:20:01,453.55,16.39,0,02:40:00,03/09/2022
10:25:01,447.05,16.26,0,02:45:00,03/09/2022
10:30:01,442.74,16.23,0,02:50:00,03/09/2022
10:35:01,442.53,16.26,0,02:55:00,03/09/2022
10:40:01,443.26,16.11,0,03:00:00,03/09/2022
10:45:01,441.94,16.02,0,03:05:00,03/09/2022
10:50:01,443.52,15.98,0,03:10:00,03/09/2022
10:55:01,448.38,15.87,0,03:15:00,03/09/2022
11:00:01,453.71,15.9,0,03:20:00,03/09/2022
11:05:01,454.24,16.07,0,03:25:00,03/09/2022
11:10:01,453.49,16.04,0,03:30:00,03/09/2022
11:15:01,451.44,16.11,0,03:35:00,03/09/2022
11:20:01,455.32,16.11,0,03:40:00,03/09/2022
11:25:01,456.92,16.14,0,03:45:00,03/09/2022
11:30:01,458.02,16.21,0,03:50:00,03/09/2022
11:35:01,463.92,16.21,0,03:55:00,03/09/2022
11:40:01,464.16,16.01,0,04:00:00,03/09/2022
11:45:01,460.19,15.93,0,04:05:00,03/09/2022
11:50:01,468.52,16.08,0,04:10:00,03/09/2022
11:55:01,464.92,16.25,0,04:15:00,03/09/2022
12:00:01,461.12,16.28,0,04:20:00,03/09/2022
12:05:01,457.16,16.33,0,04:25:00,03/09/2022
12:10:01,460.83,16.16,0,04:30:00,03/09/2022
12:15:01,461.43,16.18,0,04:35:00,03/09/2022
12:20:01,450.98,16.12,0,04:40:00,03/09/2022
12:25:01,458.27,16.04,0,04:45:00,03/09/2022
12:30:01,457.26,16.25,0,04:50:00,03/09/2022
12:35:01,454.58,16.12,0,04:55:00,03/09/2022
12:40:01,457.32,16.14,0,05:00:00,03/09/2022
12:45:01,463.35,16.26,0,05:05:00,03/09/2022
12:50:01,472.34,16.29,0,05:10:00,03/09/2022
12:55:01,463.86,16.26,0,05:15:00,03/09/2022
13:00:01,458.91,16.35,0,05:20:00,03/09/2022
13:05:01,459.75,16.31,0,05:25:00,03/09/2022
13:10:01,461.82,16.15,0,05:30:00,03/09/2022
13:15:01,458.55,16.22,0,05:35:00,03/09/2022
13:20:01,461.91,16.16,0,05:40:00,03/09/2022
13:25:01,464.12,16.09,0,05:45:00,03/09/2022
13:30:01,474.12,16.04,0,05:50:00,03/09/2022
13:35:01,473.56,16.04,0,05:55:00,03/09/2022
13:40:01,474.15,16.08,0,06:00:00,03/09/2022
13:45:01,481.06,16.14,0,06:05:00,03/09/2022
13:50:01,477.57,16.19,0,06:10:00,03/09/2022
13:55:01,471.69,16.05,0,06:15:00,03/09/2022
14:00:01,469.54,15.94,0,06:20:00,03/09/2022
14:05:01,466.89,15.98,0,06:25:00,03/09/2022
14:10:01,474.99,15.84,0,06:30:00,03/09/2022
14:15:01,471.56,15.85,0,06:35:00,03/09/2022
14:20:01,466.04,15.94,0,06:40:00,03/09/2022
14:25:01,467.81,15.73,0,06:45:00,03/09/2022
14:30:01,471.56,15.77,0,06:50:00,03/09/2022
14:35:01,467.35,15.56,0,06:55:00,03/09/2022
14:40:01,470.5,15.49,0,07:00:00,03/09/2022
14:45:01,473.34,15.51,0,07:05:00,03/09/2022
14:50:01,474.47,15.47,0,07:10:00,03/09/2022
14:55:01,476.83,15.6,0,07:15:00,03/09/2022
15:00:01,480.76,15.57,0,07:20:00,03/09/2022
15:05:01,481.34,15.6,0,07:25:00,03/09/2022
15:10:01,473.04,15.74,0,07:30:00,03/09/2022
15:15:01,472.09,15.7,0,07:35:00,03/09/2022
15:20:01,476.14,16.15,0,07:40:00,03/09/2022
15:25:01,472.93,16.04,0,07:45:00,03/09/2022
15:30:01,473.73,16.43,0,07:50:00,03/09/2022
15:35:01,474.45,16.09,0,07:55:00,03/09/2022
15:40:01,471.2,15.83,0,08:00:00,03/09/2022
15:45:01,479.45,15.73,0,08:05:00,03/09/2022
15:50:01,470.3,15.8,0,08:10:00,03/09/2022
15:55:01,464.31,16,0,08:15:00,03/09/2022
16:00:01,467.77,16.23,0,08:20:00,03/09/2022
16:05:01,470.2,16.22,0,08:25:00,03/09/2022
16:10:01,472.15,16.29,0,08:30:00,03/09/2022
16:15:01,472,16.53,0,08:35:00,03/09/2022
16:20:01,461.56,16.63,0,08:40:00,03/09/2022
16:25:01,453.69,17.26,0,08:45:00,03/09/2022
